idx	label	predict	radius	correct	time
0	0	394	0.171	0	0:04:31.864298
100	2	4	0.147	0	0:02:12.456987
200	4	-1	0.0	0	0:02:09.732687
300	6	5	0.8	0	0:02:10.537526
400	8	8	0.8	1	0:02:09.653929
500	10	13	0.335	0	0:02:08.227320
600	12	12	0.42	1	0:02:08.306806
700	14	14	0.64	1	0:02:10.012660
800	16	-1	0.0	0	0:02:09.182564
900	18	-1	0.0	0	0:02:08.833996
1000	20	98	0.0671	0	0:02:08.591466
1100	22	23	0.291	0	0:02:08.808471
1200	24	24	0.8	1	0:02:08.742321
1300	26	395	0.191	0	0:02:09.935811
1400	28	28	0.599	1	0:02:08.727797
1500	30	30	0.594	1	0:02:09.337293
1600	32	26	0.715	0	0:02:08.481541
1700	34	-1	0.0	0	0:02:08.741468
1800	36	35	0.12	0	0:02:08.964682
1900	38	38	0.103	1	0:02:09.220409
2000	40	59	0.497	0	0:02:09.148471
2100	42	-1	0.0	0	0:02:09.339352
2200	44	44	0.312	1	0:02:09.743683
2300	46	46	0.22	1	0:02:07.834323
2400	48	48	0.394	1	0:02:08.940540
2500	50	50	0.092	1	0:02:08.682822
2600	52	53	0.0744	0	0:02:08.440313
2700	54	57	0.8	0	0:02:08.014791
2800	56	56	0.252	1	0:02:08.225300
2900	58	30	0.119	0	0:02:08.949155
3000	60	54	0.226	0	0:02:08.773270
3100	62	62	0.61	1	0:02:08.965973
3200	64	55	0.0621	0	0:02:08.575899
3300	66	54	0.168	0	0:02:10.008192
3400	68	52	0.215	0	0:02:08.768684
3500	70	70	0.575	1	0:02:08.329046
3600	72	74	0.211	0	0:02:08.349869
3700	74	-1	0.0	0	0:02:08.993051
3800	76	76	0.357	1	0:02:08.386340
3900	78	78	0.609	1	0:02:09.318918
4000	80	80	0.8	1	0:02:09.628317
4100	82	82	0.359	1	0:02:09.594891
4200	84	84	0.481	1	0:02:07.486919
4300	86	86	0.743	1	0:02:07.784550
4400	88	-1	0.0	0	0:02:07.875229
4500	90	90	0.8	1	0:02:09.166115
4600	92	92	0.328	1	0:02:08.695546
4700	94	95	0.8	0	0:02:10.160580
4800	96	96	0.8	1	0:02:08.500484
4900	98	98	0.0667	1	0:02:09.527921
5000	100	100	0.8	1	0:02:08.724376
5100	102	102	0.743	1	0:02:08.632030
5200	104	280	0.055	0	0:02:09.306321
5300	106	106	0.696	1	0:02:08.688523
5400	108	-1	0.0	0	0:02:08.659149
5500	110	110	0.656	1	0:02:09.785722
5600	112	112	0.743	1	0:02:09.200214
5700	114	-1	0.0	0	0:02:08.843115
5800	116	116	0.8	1	0:02:08.297395
5900	118	118	0.8	1	0:02:08.955355
6000	120	119	0.339	0	0:02:09.291262
6100	122	411	0.052	0	0:02:09.627323
6200	124	118	0.068	0	0:02:09.103816
6300	126	307	0.243	0	0:02:07.993852
6400	128	127	0.286	0	0:02:09.534578
6500	130	130	0.0248	1	0:02:08.987501
6600	132	132	0.8	1	0:02:08.745629
6700	134	132	0.743	0	0:02:08.538648
6800	136	136	0.8	1	0:02:09.138396
6900	138	138	0.599	1	0:02:13.164295
7000	140	140	0.309	1	0:02:09.658581
7100	142	142	0.356	1	0:02:09.586627
7200	144	131	0.322	0	0:02:10.123559
7300	146	-1	0.0	0	0:02:08.525257
7400	148	148	0.8	1	0:02:08.226304
7500	150	360	0.547	0	0:02:09.089284
7600	152	152	0.8	1	0:02:08.724750
7700	154	262	0.0982	0	0:02:08.081297
7800	156	156	0.684	1	0:02:08.308440
7900	158	253	0.276	0	0:02:07.699689
8000	160	160	0.0233	1	0:02:08.330507
8100	162	162	0.647	1	0:02:11.119040
8200	164	-1	0.0	0	0:02:11.119321
8300	166	167	0.379	0	0:02:09.306009
8400	168	-1	0.0	0	0:02:09.302861
8500	170	172	0.176	0	0:02:08.697740
8600	172	176	0.0206	0	0:02:09.188114
8700	174	-1	0.0	0	0:02:11.054680
8800	176	246	0.215	0	0:02:08.906095
